prompt_id,raw_prompt,domain,task_type,expected_mode,complexity_level,ambiguity_level,expected_output_style,notes
P062,"Write a SQL query to find the second highest salary.","Coding","Generate","Context","Medium","Low","SQL code","Common SQL problem."
P063,"Explain recursion in programming with a simple code example.","Coding","Explain","Context","Medium","Low","Code plus explanation","Needs example."
P064,"Create a responsive navbar using HTML and CSS.","Coding","Generate","Context","Medium","Low","Code","Frontend UI task."
P065,"Summarize the purpose of Git branches.","Coding","Summarize","Cost","Low","Low","Short paragraph","Concise developer explanation."
P066,"Explain how exception handling works in Python.","Coding","Explain","Context","Medium","Low","Code plus bullets","Programming concept."
P067,"Generate unit tests for a function that adds two numbers.","Coding","Generate","Context","Low","Medium","Code","Testing prompt."
P068,"Explain the difference between GET and POST requests.","Coding","Explain","Cost","Low","Low","Table","API basics."
P069,"Write a MongoDB query to filter active users.","Coding","Generate","Context","Low","Medium","Code","Database query task."
P070,"Help me improve the architecture of my Flask project.","Coding","Optimize","Context","High","High","Checklist","Broad project architecture prompt."
P071,"Explain what a Docker container is.","Coding","Explain","Context","Medium","Low","Paragraph","DevOps concept."
P072,"Create pseudocode for a login authentication flow.","Coding","Generate","Context","Medium","Low","Pseudocode","Algorithmic structure."
P073,"Optimize a loop that processes a large list of records.","Coding","Optimize","Context","Medium","High","Steps","Performance prompt."
P074,"Explain how indexes improve database query performance.","Coding","Explain","Context","Medium","Low","Bullets","Database performance."
P075,"Write a simple React component for a todo item.","Coding","Generate","Context","Low","Low","Code","React generation."
P076,"Rewrite this paragraph to sound more professional.","Writing","Rewrite","Context","Low","High","Paragraph","Input content missing but tests clarification."
P077,"Write an email to a professor requesting project feedback.","Writing","Generate","Context","Low","Low","Email","Formal email."
P078,"Create a LinkedIn post about completing an AI project.","Writing","Generate","Context","Low","Medium","Social post","Tone-specific writing."
P079,"Summarize this article in simple language.","Writing","Summarize","Cost","Medium","High","Bullets","Article not provided."
P080,"Write an introduction for a research paper on prompt optimization.","Writing","Generate","Context","Medium","Low","Academic paragraph","Directly relevant to project."
P081,"Improve the clarity of this sentence without changing meaning.","Writing","Rewrite","Context","Low","High","Sentence","Missing sentence tests robustness."
P082,"Write a product description for a smart water bottle.","Writing","Generate","Context","Low","Low","Paragraph","Marketing writing."
P083,"Create a formal notice for a college seminar.","Writing","Generate","Context","Low","Low","Notice","Formal structure."
P084,"Write a short story about teamwork and innovation.","Writing","Generate","Context","Medium","Low","Story","Creative generation."
P085,"Convert this casual message into a professional one.","Writing","Rewrite","Context","Low","High","Message","Ambiguous due missing text."
P086,"Write a conclusion for a project report on machine learning.","Writing","Generate","Context","Medium","Low","Academic paragraph","Report writing."
P087,"Create bullet points for a presentation on cybersecurity.","Writing","Generate","Context","Medium","Low","Bullets","Presentation content."
P088,"Make this explanation shorter and clearer.","Writing","Rewrite","Cost","Low","High","Short paragraph","No source text given."
P089,"Write a blog outline on healthy study habits.","Writing","Generate","Context","Low","Low","Outline","Content planning."
P090,"Generate a polite reply to a delayed project submission email.","Writing","Generate","Context","Medium","Medium","Email","Professional reply."
P091,"Write an abstract for a paper on automated prompt refinement.","Writing","Generate","Context","High","Low","Abstract","Research writing."
P092,"Create a resume summary for a fresher AI engineer.","Writing","Generate","Context","Medium","Low","Resume summary","Career writing."
P093,"Rewrite a technical paragraph for non-technical readers.","Writing","Rewrite","Context","Medium","High","Paragraph","Audience adaptation."
P094,"Write a caption for a college project demo video.","Writing","Generate","Cost","Low","Low","Caption","Short output expected."
P095,"Create an agenda for a team meeting about project progress.","Writing","Generate","Context","Low","Low","Agenda","Structured writing."
P096,"Write a formal application for leave due to health reasons.","Writing","Generate","Context","Low","Low","Letter","Formal letter."
P097,"Improve the tone of a complaint email to be firm but polite.","Writing","Rewrite","Context","Medium","High","Email","Tone refinement."
P098,"Write a project problem statement for a prompt optimizer system.","Writing","Generate","Context","Medium","Low","Academic paragraph","Project-specific."
P099,"Generate a short script for explaining a demo to judges.","Writing","Generate","Context","Medium","Medium","Script","Presentation script."
P100,"Rewrite this content into concise bullet points.","Writing","Rewrite","Cost","Low","High","Bullets","Compression task."
P101,"Summarize a long meeting transcript into action items.","Summarization","Summarize","Cost","Medium","High","Action items","Source text absent but common task."
P102,"Summarize this research paper introduction in 100 words.","Summarization","Summarize","Cost","Medium","Medium","Short paragraph","Word limit focus."
P103,"Extract key points from a news article about climate change.","Summarization","Summarize","Cost","Medium","High","Bullets","Needs source context."
P104,"Summarize customer feedback into positive and negative themes.","Summarization","Summarize","Context","Medium","Medium","Table","Thematic summary."
P105,"Create a concise summary of a project report.","Summarization","Summarize","Cost","Medium","High","Bullets","Generic report summary."
P106,"Summarize the benefits of cloud computing in five bullet points.","Summarization","Summarize","Cost","Low","Low","Bullets","Clear compact task."
P107,"Summarize this paragraph without losing important details.","Summarization","Summarize","Context","Medium","High","Paragraph","Meaning preservation."
P108,"Generate an executive summary for a business proposal.","Summarization","Summarize","Context","High","Medium","Executive summary","Business summary."
P109,"Summarize an interview transcript for hiring decisions.","Summarization","Summarize","Context","High","High","Bullets","Sensitive decision support."
P110,"Create a short summary of a lecture on neural networks.","Summarization","Summarize","Cost","Medium","Medium","Short paragraph","Educational summary."
P111,"Summarize a technical document for a non-technical audience.","Summarization","Summarize","Context","High","Medium","Plain-language summary","Audience adaptation."
P112,"Reduce this explanation to one sentence.","Summarization","Summarize","Cost","Low","High","Sentence","Extreme compression."
P113,"Summarize the main arguments from an essay.","Summarization","Summarize","Context","Medium","High","Bullets","Argument extraction."
P114,"Create a TLDR for an article about artificial intelligence.","Summarization","Summarize","Cost","Low","Medium","TLDR","Short-form summary."
P115,"Summarize the steps in a software installation guide.","Summarization","Summarize","Cost","Medium","Medium","Steps","Process extraction."
P116,"Summarize a legal policy in simple language.","Summarization","Summarize","Context","High","Medium","Plain-language bullets","Complex domain prompt."
P117,"Summarize survey results into three insights.","Summarization","Summarize","Context","Medium","Medium","Numbered list","Insight extraction."
P118,"Create a short summary of a financial report.","Summarization","Summarize","Context","High","Medium","Executive bullets","Finance summary."
P119,"Summarize an academic abstract for a general audience.","Summarization","Summarize","Cost","Medium","Low","Short paragraph","Accessible summary."
P120,"Extract the conclusion from a research discussion section.","Summarization","Summarize","Context","Medium","High","Paragraph","Research summary."
P121,"Summarize a product review into pros and cons.","Summarization","Summarize","Context","Low","Low","Table","Structured extraction."
P122,"Summarize a chapter into exam revision notes.","Summarization","Summarize","Context","Medium","High","Bullets","Study notes."
P123,"Summarize multiple documents into a combined overview.","Summarization","Summarize","Context","High","High","Structured overview","Multi-source task."
P124,"Create a concise recap of a project meeting.","Summarization","Summarize","Cost","Low","Medium","Bullets","Meeting recap."
P125,"Summarize this content for a social media post.","Summarization","Summarize","Cost","Low","High","Short post","Audience-specific compression."
P126,"Solve this logic puzzle step by step.","Reasoning","Solve","Context","Medium","High","Steps","Problem details missing."
P127,"Explain how to approach a case study analysis.","Reasoning","Explain","Context","Medium","Medium","Framework","Analytical reasoning."
P128,"Find the best option from three alternatives and justify it.","Reasoning","Analyze","Context","Medium","High","Comparison","Decision reasoning."
P129,"Create a step-by-step plan to reduce project delay.","Reasoning","Generate","Context","Medium","Medium","Action plan","Problem solving."
P130,"Explain the reasoning behind choosing a database for an app.","Reasoning","Analyze","Context","High","Medium","Bullets","Technical decision reasoning."
P131,"Solve a probability problem and explain each step.","Reasoning","Solve","Context","High","High","Steps","Math reasoning."
P132,"Analyze the root cause of low student attendance.","Reasoning","Analyze","Context","Medium","Medium","Cause analysis","Structured analysis."
P133,"Give a decision matrix for selecting a cloud provider.","Reasoning","Analyze","Context","High","Medium","Table","Multi-criteria decision."
P134,"Explain why a model might overfit training data.","Reasoning","Explain","Context","Medium","Low","Bullets","ML reasoning."
P135,"Create a troubleshooting flow for a slow website.","Reasoning","Generate","Context","High","Medium","Flow steps","Diagnostic reasoning."
P136,"Compare two project ideas and recommend one.","Reasoning","Compare","Context","Medium","High","Table plus recommendation","Decision prompt."
P137,"Explain the trade-off between accuracy and speed in AI systems.","Reasoning","Analyze","Context","High","Medium","Structured paragraphs","Trade-off analysis."
P138,"Solve this algebra problem with explanations.","Reasoning","Solve","Context","Medium","High","Steps","Problem absent but format desired."
P139,"Create a risk analysis for launching a new app.","Reasoning","Analyze","Context","High","Medium","Table","Risk reasoning."
P140,"Explain how to debug a failed machine learning pipeline.","Reasoning","Explain","Context","High","Medium","Checklist","Technical reasoning."
P141,"Analyze why a marketing campaign may fail.","Reasoning","Analyze","Context","Medium","Medium","Bullets","Business reasoning."
P142,"Create a cause-and-effect analysis of traffic congestion.","Reasoning","Analyze","Context","Medium","Low","Cause-effect list","General reasoning."
P143,"Explain a stepwise method for solving word problems.","Reasoning","Explain","Context","Medium","Low","Steps","Educational reasoning."
P144,"Determine which algorithm is better for searching sorted data.","Reasoning","Analyze","Context","Medium","Medium","Comparison","Algorithm choice."
P145,"Create a decision tree for handling customer complaints.","Reasoning","Generate","Context","Medium","Medium","Decision tree text","Operational reasoning."
P146,"Explain how to prioritize tasks when deadlines conflict.","Reasoning","Explain","Context","Medium","Low","Steps","Planning reasoning."
P147,"Analyze the pros and cons of remote work.","Reasoning","Analyze","Context","Low","Low","Table","Balanced reasoning."
P148,"Solve a riddle and show the reasoning clearly.","Reasoning","Solve","Context","Low","High","Steps","Ambiguous input."
P149,"Create a framework for evaluating research papers.","Reasoning","Generate","Context","High","Medium","Checklist","Academic evaluation."
P150,"Explain how to make a fair comparison between two models.","Reasoning","Explain","Context","High","Medium","Framework","ML evaluation reasoning."
P151,"Analyze sales data and identify trends.","Technical_Data","Analyze","Context","Medium","High","Bullets","Data unavailable but task realistic."
P152,"Create a data cleaning checklist for a CSV file.","Technical_Data","Generate","Context","Medium","Low","Checklist","Data preprocessing."
P153,"Explain ETL pipeline steps for a data warehouse.","Technical_Data","Explain","Context","High","Low","Steps","Data engineering concept."
P154,"Write a prompt to generate insights from customer data.","Technical_Data","Generate","Context","Medium","Medium","Prompt template","Meta prompt."
P155,"Summarize dashboard metrics for management.","Technical_Data","Summarize","Cost","Medium","Medium","Executive bullets","Dashboard reporting."
P156,"Explain schema drift in data pipelines.","Technical_Data","Explain","Context","High","Medium","Paragraph","Domain-specific concept."
P157,"Create validation rules for user registration data.","Technical_Data","Generate","Context","Medium","Low","Table","Data quality rules."
P158,"Analyze why a machine learning model accuracy decreased.","Technical_Data","Analyze","Context","High","Medium","Checklist","Model diagnostics."
P159,"Explain the difference between batch and real-time processing.","Technical_Data","Explain","Context","Medium","Low","Table","Data processing comparison."
P160,"Create a report structure for monthly analytics.","Technical_Data","Generate","Context","Medium","Low","Outline","Reporting structure."
P161,"Explain how missing values affect analysis.","Technical_Data","Explain","Context","Medium","Low","Bullets","Data analysis concept."
P162,"Generate SQL queries for basic sales analysis.","Technical_Data","Generate","Context","Medium","Medium","SQL code","Analytics SQL."
P163,"Create a data dictionary template.","Technical_Data","Generate","Context","Low","Low","Table","Metadata prompt."
P164,"Explain model evaluation metrics for classification.","Technical_Data","Explain","Context","High","Low","Table","ML metrics."
P165,"Summarize data quality issues in a dataset.","Technical_Data","Summarize","Context","Medium","High","Bullets","Dataset not provided."
P166,"Create a checklist for deploying a machine learning model.","Technical_Data","Generate","Context","High","Low","Checklist","MLOps task."
P167,"Explain the role of feature engineering.","Technical_Data","Explain","Context","Medium","Low","Paragraph","ML concept."
P168,"Analyze survey data and find key patterns.","Technical_Data","Analyze","Context","Medium","High","Insights","Data absent but prompt useful."
P169,"Create a prompt for generating charts from data.","Technical_Data","Generate","Context","Medium","Medium","Prompt template","Visualization prompt."
P170,"Explain how data lineage helps debugging.","Technical_Data","Explain","Context","High","Medium","Bullets","Data governance."
P171,"Create sample KPIs for an e-commerce dashboard.","Technical_Data","Generate","Context","Medium","Low","Table","Analytics metrics."
P172,"Explain normalization in database design.","Technical_Data","Explain","Context","Medium","Low","Example","Database concept."
P173,"Summarize anomaly detection methods.","Technical_Data","Summarize","Cost","High","Low","Bullets","Technical summary."
P174,"Create a workflow for cleaning survey responses.","Technical_Data","Generate","Context","Medium","Low","Steps","Data cleaning workflow."
P175,"Explain the difference between correlation and causation.","Technical_Data","Explain","Context","Medium","Low","Examples","Analytics reasoning."
P176,"Write a business proposal summary for a new mobile app.","Business_Finance","Generate","Context","Medium","Low","Executive summary","Business writing."
P177,"Explain return on investment in simple terms.","Business_Finance","Explain","Context","Low","Low","Example","Finance concept."
P178,"Create a budget plan for a college technical event.","Business_Finance","Generate","Context","Medium","Medium","Table","Planning and budgeting."
P179,"Analyze why a startup may run out of cash.","Business_Finance","Analyze","Context","High","Medium","Bullets","Business risk analysis."
P180,"Summarize the financial performance of a company.","Business_Finance","Summarize","Context","High","High","Executive bullets","Data not provided."
P181,"Create a marketing strategy for a small cafe.","Business_Finance","Generate","Context","Medium","Low","Plan","Business strategy."
P182,"Explain profit margin with an example.","Business_Finance","Explain","Context","Low","Low","Example","Finance education."
P183,"Write an email to a client requesting payment follow-up.","Business_Finance","Generate","Context","Low","Low","Email","Professional communication."
P184,"Create a SWOT analysis for an online learning platform.","Business_Finance","Analyze","Context","Medium","Low","Table","Strategy analysis."
P185,"Summarize a business meeting into decisions and action items.","Business_Finance","Summarize","Cost","Medium","Medium","Action items","Meeting summary."
P186,"Explain the difference between revenue and profit.","Business_Finance","Explain","Cost","Low","Low","Table","Concise finance distinction."
P187,"Create a pitch outline for an AI-based product.","Business_Finance","Generate","Context","Medium","Low","Outline","Startup pitch."
P188,"Analyze customer churn reasons for a subscription business.","Business_Finance","Analyze","Context","High","Medium","Bullets","Business analytics."
P189,"Write a concise product launch announcement.","Business_Finance","Generate","Cost","Low","Low","Announcement","Short marketing copy."
P190,"Create a project cost estimation template.","Business_Finance","Generate","Context","Medium","Low","Table","Cost planning."
P191,"Explain break-even analysis using a simple example.","Business_Finance","Explain","Context","Medium","Low","Example","Finance calculation concept."
P192,"Generate interview questions for a sales manager role.","Business_Finance","Generate","Context","Medium","Low","Numbered list","Hiring support."
P193,"Create a customer feedback survey for a new product.","Business_Finance","Generate","Context","Medium","Low","Survey questions","Market research."
P194,"Summarize a market research report for executives.","Business_Finance","Summarize","Context","High","High","Executive summary","Report missing but task realistic."
P195,"Explain cash flow management for small businesses.","Business_Finance","Explain","Context","Medium","Low","Bullets","Business finance."
P196,"Write a professional apology email for delayed delivery.","Business_Finance","Generate","Context","Low","Low","Email","Customer communication."
P197,"Create a risk register for a software project.","Business_Finance","Generate","Context","High","Medium","Table","Project management."
P198,"Analyze pricing strategies for a new SaaS product.","Business_Finance","Analyze","Context","High","Medium","Comparison","Business strategy."
P199,"Create a one-page business plan structure.","Business_Finance","Generate","Context","Medium","Low","Outline","Business planning."
P200,"Explain cost reduction strategies without reducing quality.","Business_Finance","Explain","Context","Medium","Medium","Bullets","Operational strategy."
